Index,Delta Curvature: neural,Delta Curvature: control,Distances,"Rates, correlation empirical vs predicted","Variance, correlation empirical vs predicted","Covariance, correlation empirical vs predicted",Dataset,Pixel curvature,sequence type,dither
1,-28.5006314390672,51.4886153730975,0.47,0.96,0.91,0.81,ay2_u003_image_sequences,101.5326,1,1
2,-60.3298025096110,41.6352840223422,0.43,0.97,0.93,0.80,ay2_u003_image_sequences,105.9307,1,1
3,15.0765330121125,27.6902447620595,0.56,0.97,0.92,0.81,ay2_u003_image_sequences,93.3074,1,1
4,-44.3638334876624,55.2894369074661,0.41,0.96,0.92,0.70,ay2_u003_image_sequences,104.9207,1,1
5,31.2578886325522,31.7113497503914,0.54,0.97,0.92,0.82,ay2_u003_image_sequences,104.9132,1,1
6,51.1044363881597,-0.408375497709357,0.74,0.97,0.92,0.81,ay2_u003_image_sequences,84.9883,1,1
7,-10.4922837635660,-18.3717663119141,1.10,0.97,0.92,0.71,ay2_u003_image_sequences,86.3547,1,1
8,-5.01777738407708,17.9946111397910,0.61,0.96,0.91,0.76,ay2_u003_image_sequences,72.2898,1,1
9,33.6073391481221,23.3487773896364,0.42,0.97,0.93,0.82,ay2_u003_image_sequences,63.4753,1,1
10,-57.1644102205399,12.0642128529701,0.66,0.96,0.91,0.76,ay2_u003_image_sequences,107.481,1,1
11,-26.4928100903212,6.54123398355975,0.78,0.97,0.92,0.79,ay2_u003_image_sequences,99.0342,1,1
12,-5.88967042525625,49.2051160817476,0.43,0.89,0.86,0.80,ay2_u003_image_sequences,103.6573,1,1
13,21.4776965626184,76.9826960968122,0.31,0.97,0.93,0.78,ay2_u003_image_sequences,87.4242,1,1
14,-23.3039311346387,12.2393795928817,0.71,0.96,0.92,0.80,ay2_u003_image_sequences,106.6673,1,1
15,-17.3440449145619,46.7884724443848,0.42,0.97,0.93,0.81,ay2_u003_image_sequences,106.6373,1,1
16,32.1161129547221,15.0780486693518,0.46,0.97,0.94,0.83,ay2_u003_image_sequences,83.0395,1,1
17,-24.3157965526204,-17.8688488250407,1.22,0.96,0.90,0.62,ay2_u003_image_sequences,84.9083,1,1
18,-41.6096931648394,-1.84631993990161,0.82,0.96,0.91,0.71,ay2_u003_image_sequences,73.4071,1,1
19,28.3355169422559,25.7221726070791,0.46,0.97,0.92,0.76,ay2_u003_image_sequences,62.1746,1,1
20,-13.8796864676524,-8.31066034052675,1.25,0.96,0.92,0.72,ay2_u003_image_sequences,107.549,1,1
21,6.13100834919200,-23.6049281305667,0.63,0.96,0.93,0.87,ay4_u001_image_sequences,101.5326,1,1
22,25.8715567653836,-18.6441910063614,0.63,0.96,0.94,0.94,ay4_u001_image_sequences,105.9307,1,1
23,-8.62551926867291,-7.75475152882290,0.73,0.96,0.94,0.92,ay4_u001_image_sequences,93.3074,1,1
24,-0.257672623880211,-21.2703933081348,0.84,0.96,0.95,0.93,ay4_u001_image_sequences,104.9207,1,1
25,-1.79550468273674,-22.8533084681660,0.54,0.96,0.94,0.90,ay4_u001_image_sequences,104.9132,1,1
